id,username,role
1,Shurlock,student
2,Jaime,admin
3,Dalston,admin
4,Bendicty,admin
5,Lind,admin
6,Wilow,admin
7,Minnnie,admin
8,Darbee,admin
9,Dillie,student
10,Massimo,admin
11,Waverly,student
12,Lexis,student
13,Joleen,student
14,Adiana,student
15,Allister,admin
16,Dianemarie,admin
17,Alexina,student
18,Janina,admin
19,Sigismondo,admin
20,Ludovico,admin
21,Gwendolen,student
22,Nigel,admin
23,Nonie,student
24,Ham,student
25,Allayne,student
26,Chrissie,admin
27,Meridith,admin
28,Judd,admin
29,Piggy,student
30,Hale,student
31,Kara,admin
32,Edgardo,student
33,Doy,admin
34,Arlina,admin
35,Derwin,student
36,Flynn,admin
37,Gilligan,student
38,Paxton,student
39,Michail,admin
40,Alic,student
41,Deina,admin
42,Hatty,student
43,Tilly,student
44,Mordecai,student
45,Lon,student
46,Elnore,admin
47,Omero,student
48,Ly,admin
49,Reena,student
50,Nancy,student
